,Source,Target,Type
0,light cream,chicken,undirected
1,escalope,mushroom cream sauce,undirected
2,escalope,pasta,undirected
3,fromage blanc,honey,undirected
4,herb & pepper,ground beef,undirected
5,tomato sauce,ground beef,undirected
6,olive oil,light cream,undirected
7,olive oil,whole wheat pasta,undirected
8,pasta,shrimp,undirected
9,avocado,milk,undirected
10,avocado,spaghetti,undirected
11,milk,spaghetti,undirected
12,milk,cake,undirected
13,milk,burgers,undirected
14,cake,burgers,undirected
15,turkey,chocolate,undirected
16,turkey,burgers,undirected
17,chocolate,burgers,undirected
18,turkey,milk,undirected
19,turkey,burgers,undirected
20,milk,burgers,undirected
21,frozen vegetables,cake,undirected
22,frozen vegetables,tomatoes,undirected
23,cake,tomatoes,undirected
24,cereals,spaghetti,undirected
25,cereals,ground beef,undirected
26,spaghetti,ground beef,undirected
27,milk,ground beef,undirected
28,milk,chicken,undirected
29,ground beef,chicken,undirected
30,nan,light cream,undirected
31,nan,chicken,undirected
32,light cream,chicken,undirected
33,olive oil,milk,undirected
34,olive oil,chicken,undirected
35,milk,chicken,undirected
36,olive oil,spaghetti,undirected
37,olive oil,chicken,undirected
38,spaghetti,chicken,undirected
39,frozen vegetables,chocolate,undirected
40,frozen vegetables,shrimp,undirected
41,chocolate,shrimp,undirected
42,herb & pepper,chocolate,undirected
43,herb & pepper,ground beef,undirected
44,chocolate,ground beef,undirected
45,soup,milk,undirected
46,soup,chocolate,undirected
47,milk,chocolate,undirected
48,cooking oil,spaghetti,undirected
49,cooking oil,ground beef,undirected
50,spaghetti,ground beef,undirected
51,ground beef,herb & pepper,undirected
52,ground beef,eggs,undirected
53,herb & pepper,eggs,undirected
54,red wine,spaghetti,undirected
55,red wine,eggs,undirected
56,spaghetti,eggs,undirected
57,escalope,mushroom cream sauce,undirected
58,escalope,nan,undirected
59,mushroom cream sauce,nan,undirected
60,escalope,pasta,undirected
61,escalope,nan,undirected
62,pasta,nan,undirected
63,herb & pepper,french fries,undirected
64,herb & pepper,ground beef,undirected
65,french fries,ground beef,undirected
66,fromage blanc,honey,undirected
67,fromage blanc,nan,undirected
68,honey,nan,undirected
69,green tea,frozen vegetables,undirected
70,green tea,tomatoes,undirected
71,frozen vegetables,tomatoes,undirected
72,frozen vegetables,spaghetti,undirected
73,frozen vegetables,ground beef,undirected
74,spaghetti,ground beef,undirected
75,olive oil,frozen vegetables,undirected
76,olive oil,milk,undirected
77,frozen vegetables,milk,undirected
78,frozen vegetables,milk,undirected
79,frozen vegetables,soup,undirected
80,milk,soup,undirected
81,frozen vegetables,milk,undirected
82,frozen vegetables,tomatoes,undirected
83,milk,tomatoes,undirected
84,mineral water,frozen vegetables,undirected
85,mineral water,shrimp,undirected
86,frozen vegetables,shrimp,undirected
87,olive oil,frozen vegetables,undirected
88,olive oil,spaghetti,undirected
89,frozen vegetables,spaghetti,undirected
90,frozen vegetables,spaghetti,undirected
91,frozen vegetables,shrimp,undirected
92,spaghetti,shrimp,undirected
93,frozen vegetables,tomatoes,undirected
94,frozen vegetables,shrimp,undirected
95,tomatoes,shrimp,undirected
96,frozen vegetables,spaghetti,undirected
97,frozen vegetables,tomatoes,undirected
98,spaghetti,tomatoes,undirected
99,grated cheese,spaghetti,undirected
100,grated cheese,ground beef,undirected
101,spaghetti,ground beef,undirected
102,green tea,tomatoes,undirected
103,green tea,ground beef,undirected
104,tomatoes,ground beef,undirected
105,milk,herb & pepper,undirected
106,milk,ground beef,undirected
107,herb & pepper,ground beef,undirected
108,mineral water,herb & pepper,undirected
109,mineral water,ground beef,undirected
110,herb & pepper,ground beef,undirected
111,nan,herb & pepper,undirected
112,nan,ground beef,undirected
113,herb & pepper,ground beef,undirected
114,herb & pepper,spaghetti,undirected
115,herb & pepper,ground beef,undirected
116,spaghetti,ground beef,undirected
117,olive oil,milk,undirected
118,olive oil,ground beef,undirected
119,milk,ground beef,undirected
120,soup,milk,undirected
121,soup,ground beef,undirected
122,milk,ground beef,undirected
123,nan,tomato sauce,undirected
124,nan,ground beef,undirected
125,tomato sauce,ground beef,undirected
126,spaghetti,pepper,undirected
127,spaghetti,ground beef,undirected
128,pepper,ground beef,undirected
129,spaghetti,shrimp,undirected
130,spaghetti,ground beef,undirected
131,shrimp,ground beef,undirected
132,tomato sauce,spaghetti,undirected
133,tomato sauce,ground beef,undirected
134,spaghetti,ground beef,undirected
135,mineral water,spaghetti,undirected
136,mineral water,light cream,undirected
137,spaghetti,light cream,undirected
138,nan,olive oil,undirected
139,nan,light cream,undirected
140,olive oil,light cream,undirected
141,olive oil,milk,undirected
142,olive oil,shrimp,undirected
143,milk,shrimp,undirected
144,olive oil,soup,undirected
145,olive oil,milk,undirected
146,soup,milk,undirected
147,olive oil,milk,undirected
148,olive oil,spaghetti,undirected
149,milk,spaghetti,undirected
150,soup,milk,undirected
151,soup,tomatoes,undirected
152,milk,tomatoes,undirected
153,whole wheat pasta,milk,undirected
154,whole wheat pasta,spaghetti,undirected
155,milk,spaghetti,undirected
156,mineral water,soup,undirected
157,mineral water,olive oil,undirected
158,soup,olive oil,undirected
159,mineral water,whole wheat pasta,undirected
160,mineral water,olive oil,undirected
161,whole wheat pasta,olive oil,undirected
162,olive oil,whole wheat pasta,undirected
163,olive oil,nan,undirected
164,whole wheat pasta,nan,undirected
165,shrimp,pasta,undirected
166,shrimp,nan,undirected
167,pasta,nan,undirected
168,olive oil,pancakes,undirected
169,olive oil,spaghetti,undirected
170,pancakes,spaghetti,undirected
171,olive oil,spaghetti,undirected
172,olive oil,tomatoes,undirected
173,spaghetti,tomatoes,undirected
174,spaghetti,tomatoes,undirected
175,spaghetti,whole wheat rice,undirected
176,tomatoes,whole wheat rice,undirected
177,avocado,milk,undirected
178,avocado,spaghetti,undirected
179,avocado,nan,undirected
180,milk,spaghetti,undirected
181,milk,nan,undirected
182,spaghetti,nan,undirected
183,nan,milk,undirected
184,nan,cake,undirected
185,nan,burgers,undirected
186,milk,cake,undirected
187,milk,burgers,undirected
188,cake,burgers,undirected
189,nan,chocolate,undirected
190,nan,turkey,undirected
191,nan,burgers,undirected
192,chocolate,turkey,undirected
193,chocolate,burgers,undirected
194,turkey,burgers,undirected
195,nan,milk,undirected
196,nan,turkey,undirected
197,nan,burgers,undirected
198,milk,turkey,undirected
199,milk,burgers,undirected
200,turkey,burgers,undirected
201,frozen vegetables,cake,undirected
202,frozen vegetables,tomatoes,undirected
203,frozen vegetables,nan,undirected
204,cake,tomatoes,undirected
205,cake,nan,undirected
206,tomatoes,nan,undirected
207,nan,cereals,undirected
208,nan,spaghetti,undirected
209,nan,ground beef,undirected
210,cereals,spaghetti,undirected
211,cereals,ground beef,undirected
212,spaghetti,ground beef,undirected
213,milk,ground beef,undirected
214,milk,nan,undirected
215,milk,chicken,undirected
216,ground beef,nan,undirected
217,ground beef,chicken,undirected
218,nan,chicken,undirected
219,nan,milk,undirected
220,nan,olive oil,undirected
221,nan,chicken,undirected
222,milk,olive oil,undirected
223,milk,chicken,undirected
224,olive oil,chicken,undirected
225,nan,olive oil,undirected
226,nan,spaghetti,undirected
227,nan,chicken,undirected
228,olive oil,spaghetti,undirected
229,olive oil,chicken,undirected
230,spaghetti,chicken,undirected
231,mineral water,ground beef,undirected
232,mineral water,chocolate,undirected
233,mineral water,eggs,undirected
234,ground beef,chocolate,undirected
235,ground beef,eggs,undirected
236,chocolate,eggs,undirected
237,mineral water,frozen vegetables,undirected
238,mineral water,chocolate,undirected
239,mineral water,ground beef,undirected
240,frozen vegetables,chocolate,undirected
241,frozen vegetables,ground beef,undirected
242,chocolate,ground beef,undirected
243,frozen vegetables,chocolate,undirected
244,frozen vegetables,spaghetti,undirected
245,frozen vegetables,ground beef,undirected
246,chocolate,spaghetti,undirected
247,chocolate,ground beef,undirected
248,spaghetti,ground beef,undirected
